"NutsID","year","area","permanent_crop_ID","crop_name","region_name","region_level"
"17",1999,624,86038,Olive plantations,Área Metropolitana de Lisboa,NUTS2
"17",2009,627,86039,Olive plantations,Área Metropolitana de Lisboa,NUTS2
"17",2019,730,86040,Olive plantations,Área Metropolitana de Lisboa,NUTS2
"17",1989,15374,86041,Vineyards,Área Metropolitana de Lisboa,NUTS2
"17",1999,10715,86042,Vineyards,Área Metropolitana de Lisboa,NUTS2
"17",2009,9741,86043,Vineyards,Área Metropolitana de Lisboa,NUTS2
"17",2019,9266,86044,Vineyards,Área Metropolitana de Lisboa,NUTS2
"17",1989,61,86045,Other permanent crops,Área Metropolitana de Lisboa,NUTS2
"17",1999,37,86046,Other permanent crops,Área Metropolitana de Lisboa,NUTS2
"17",2009,92,86047,Other permanent crops,Área Metropolitana de Lisboa,NUTS2
"17",2019,20,86048,Other permanent crops,Área Metropolitana de Lisboa,NUTS2
"18",1989,220942,90433,Total,Alentejo,NUTS2
"18",1999,192689,90434,Total,Alentejo,NUTS2
"18",2009,251006,90435,Total,Alentejo,NUTS2
"18",2019,358544,90436,Total,Alentejo,NUTS2
"18",1989,10744,90437,Fresh fruit plantations (excluding citrus plantations),Alentejo,NUTS2
"18",1999,4247,90438,Fresh fruit plantations (excluding citrus plantations),Alentejo,NUTS2
"18",2009,3262,90439,Fresh fruit plantations (excluding citrus plantations),Alentejo,NUTS2
"18",2019,5926,90440,Fresh fruit plantations (excluding citrus plantations),Alentejo,NUTS2
"18",1989,5145,90441,Citrus plantations,Alentejo,NUTS2
"18",1999,3304,90442,Citrus plantations,Alentejo,NUTS2
"18",2009,2424,90443,Citrus plantations,Alentejo,NUTS2
"18",2019,2260,90444,Citrus plantations,Alentejo,NUTS2
"18",1989,91,90445,Fruit plantations (subtropical climate zones),Alentejo,NUTS2
"18",1999,13,90446,Fruit plantations (subtropical climate zones),Alentejo,NUTS2
"18",2009,13,90447,Fruit plantations (subtropical climate zones),Alentejo,NUTS2
"18",2019,380,90448,Fruit plantations (subtropical climate zones),Alentejo,NUTS2
"18",1989,2021,90449,Nuts plantations,Alentejo,NUTS2
"18",1999,2187,90450,Nuts plantations,Alentejo,NUTS2
"18",2009,38869,90451,Nuts plantations,Alentejo,NUTS2
"18",2019,107298,90452,Nuts plantations,Alentejo,NUTS2
"18",1989,164004,90453,Olive plantations,Alentejo,NUTS2
"18",1999,150030,90454,Olive plantations,Alentejo,NUTS2
"18",2009,172772,90455,Olive plantations,Alentejo,NUTS2
"18",2019,205363,90456,Olive plantations,Alentejo,NUTS2
"18",1989,38354,90457,Vineyards,Alentejo,NUTS2
"18",1999,32758,90458,Vineyards,Alentejo,NUTS2
"18",2009,33568,90459,Vineyards,Alentejo,NUTS2
"18",2019,36686,90460,Vineyards,Alentejo,NUTS2
"18",1989,583,90461,Other permanent crops,Alentejo,NUTS2
"18",1999,149,90462,Other permanent crops,Alentejo,NUTS2
"18",2009,97,90463,Other permanent crops,Alentejo,NUTS2
"18",2019,630,90464,Other permanent crops,Alentejo,NUTS2
"20",1989,4769,102081,Total,Região Autónoma dos Açores ,NUTS2
"20",1999,3662,102082,Total,Região Autónoma dos Açores ,NUTS2
"20",2009,2021,102083,Total,Região Autónoma dos Açores ,NUTS2
"20",2019,2574,102084,Total,Região Autónoma dos Açores ,NUTS2
"20",1989,290,102085,Fresh fruit plantations (excluding citrus plantations),Região Autónoma dos Açores ,NUTS2
"20",1999,185,102086,Fresh fruit plantations (excluding citrus plantations),Região Autónoma dos Açores ,NUTS2
"20",2009,103,102087,Fresh fruit plantations (excluding citrus plantations),Região Autónoma dos Açores ,NUTS2
"20",2019,116,102088,Fresh fruit plantations (excluding citrus plantations),Região Autónoma dos Açores ,NUTS2
"20",1989,1086,102089,Citrus plantations,Região Autónoma dos Açores ,NUTS2
"20",1999,924,102090,Citrus plantations,Região Autónoma dos Açores ,NUTS2
"20",2009,441,102091,Citrus plantations,Região Autónoma dos Açores ,NUTS2
"20",2019,350,102092,Citrus plantations,Região Autónoma dos Açores ,NUTS2
"20",1989,767,102093,Fruit plantations (subtropical climate zones),Região Autónoma dos Açores ,NUTS2
"20",1999,670,102094,Fruit plantations (subtropical climate zones),Região Autónoma dos Açores ,NUTS2
"20",2009,435,102095,Fruit plantations (subtropical climate zones),Região Autónoma dos Açores ,NUTS2
"20",2019,481,102096,Fruit plantations (subtropical climate zones),Região Autónoma dos Açores ,NUTS2
"20",1989,65,102097,Nuts plantations,Região Autónoma dos Açores ,NUTS2
"20",1999,108,102098,Nuts plantations,Região Autónoma dos Açores ,NUTS2
"20",2009,66,102099,Nuts plantations,Região Autónoma dos Açores ,NUTS2
"20",2019,97,102100,Nuts plantations,Região Autónoma dos Açores ,NUTS2
"20",1989,0,102101,Olive plantations,Região Autónoma dos Açores ,NUTS2
"20",1999,0,102102,Olive plantations,Região Autónoma dos Açores ,NUTS2
"20",2009,0,102103,Olive plantations,Região Autónoma dos Açores ,NUTS2
"20",2019,0,102104,Olive plantations,Região Autónoma dos Açores ,NUTS2
"20",1989,2489,102105,Vineyards,Região Autónoma dos Açores ,NUTS2
"20",1999,1700,102106,Vineyards,Região Autónoma dos Açores ,NUTS2
"20",2009,926,102107,Vineyards,Região Autónoma dos Açores ,NUTS2
"20",2019,1424,102108,Vineyards,Região Autónoma dos Açores ,NUTS2
"20",1989,73,102109,Other permanent crops,Região Autónoma dos Açores ,NUTS2
"20",1999,73,102110,Other permanent crops,Região Autónoma dos Açores ,NUTS2
"20",2009,50,102111,Other permanent crops,Região Autónoma dos Açores ,NUTS2
"20",2019,107,102112,Other permanent crops,Região Autónoma dos Açores ,NUTS2
"30",1989,3679,107777,Total,Região Autónoma da Madeira ,NUTS2
"30",1999,2735,107778,Total,Região Autónoma da Madeira ,NUTS2
"30",2009,2482,107779,Total,Região Autónoma da Madeira ,NUTS2
"30",2019,2322,107780,Total,Região Autónoma da Madeira ,NUTS2
"30",1989,261,107781,Fresh fruit plantations (excluding citrus plantations),Região Autónoma da Madeira ,NUTS2
"30",1999,219,107782,Fresh fruit plantations (excluding citrus plantations),Região Autónoma da Madeira ,NUTS2
"30",2009,278,107783,Fresh fruit plantations (excluding citrus plantations),Região Autónoma da Madeira ,NUTS2
"30",2019,267,107784,Fresh fruit plantations (excluding citrus plantations),Região Autónoma da Madeira ,NUTS2
"30",1989,75,107785,Citrus plantations,Região Autónoma da Madeira ,NUTS2
"30",1999,101,107786,Citrus plantations,Região Autónoma da Madeira ,NUTS2
"30",2009,100,107787,Citrus plantations,Região Autónoma da Madeira ,NUTS2
"30",2019,118,107788,Citrus plantations,Região Autónoma da Madeira ,NUTS2
"30",1989,1239,107789,Fruit plantations (subtropical climate zones),Região Autónoma da Madeira ,NUTS2
"30",1999,745,107790,Fruit plantations (subtropical climate zones),Região Autónoma da Madeira ,NUTS2
"30",2009,849,107791,Fruit plantations (subtropical climate zones),Região Autónoma da Madeira ,NUTS2
"30",2019,1076,107792,Fruit plantations (subtropical climate zones),Região Autónoma da Madeira ,NUTS2
"30",1989,57,107793,Nuts plantations,Região Autónoma da Madeira ,NUTS2
"30",1999,81,107794,Nuts plantations,Região Autónoma da Madeira ,NUTS2
