"NutsID","region_name","NUTS_level","tc.year","tc.area","tc.hold","tcn.crop_name"
"16G1821","Tondela","4","2019","1","4","Other temporary crops"
"16G1822","Vila Nova de Paiva","4","2019","562","300","Total"
"16G1822","Vila Nova de Paiva","4","2019","195","226","Cereals"
"16G1822","Vila Nova de Paiva","4","2019","7","201","Dried pulses"
"16G1822","Vila Nova de Paiva","4","2019","45","17","Temporary grasses and grazings"
"16G1822","Vila Nova de Paiva","4","2019","303","220","Fodder plants"
"16G1822","Vila Nova de Paiva","4","2019","6","42","Potatoes"
"16G1822","Vila Nova de Paiva","4","2019","0","0","Sugarbeets"
"16G1822","Vila Nova de Paiva","4","2019","1","1","Industrial crops"
"16G1822","Vila Nova de Paiva","4","2019","3","14","Fresh vegetables"
"16G1822","Vila Nova de Paiva","4","2019","0","0","Flowers and ornamental plants"
"16G1822","Vila Nova de Paiva","4","2019","0","0","Other temporary crops"
"16G1823","Viseu","4","2019","986","1353","Total"
"16G1823","Viseu","4","2019","397","960","Cereals"
"16G1823","Viseu","4","2019","68","415","Dried pulses"
"16G1823","Viseu","4","2019","36","51","Temporary grasses and grazings"
"16G1823","Viseu","4","2019","311","319","Fodder plants"
"16G1823","Viseu","4","2019","106","657","Potatoes"
"16G1823","Viseu","4","2019","0","0","Sugarbeets"
"16G1823","Viseu","4","2019","2","5","Industrial crops"
"16G1823","Viseu","4","2019","64","220","Fresh vegetables"
"16G1823","Viseu","4","2019","1","11","Flowers and ornamental plants"
"16G1823","Viseu","4","2019","3","9","Other temporary crops"
"16G1824","Vouzela","4","2019","795","595","Total"
"16G1824","Vouzela","4","2019","321","530","Cereals"
"16G1824","Vouzela","4","2019","11","89","Dried pulses"
"16G1824","Vouzela","4","2019","76","147","Temporary grasses and grazings"
"16G1824","Vouzela","4","2019","373","452","Fodder plants"
"16G1824","Vouzela","4","2019","7","42","Potatoes"
"16G1824","Vouzela","4","2019","0","0","Sugarbeets"
"16G1824","Vouzela","4","2019","0","0","Industrial crops"
"16G1824","Vouzela","4","2019","8","11","Fresh vegetables"
"16G1824","Vouzela","4","2019","0","1","Flowers and ornamental plants"
"16G1824","Vouzela","4","2019","0","0","Other temporary crops"
"16H0502","Castelo Branco","4","2019","7014","829","Total"
"16H0502","Castelo Branco","4","2019","443","96","Cereals"
"16H0502","Castelo Branco","4","2019","433","70","Dried pulses"
"16H0502","Castelo Branco","4","2019","694","44","Temporary grasses and grazings"
"16H0502","Castelo Branco","4","2019","5390","683","Fodder plants"
"16H0502","Castelo Branco","4","2019","8","52","Potatoes"
"16H0502","Castelo Branco","4","2019","0","0","Sugarbeets"
"16H0502","Castelo Branco","4","2019","3","4","Industrial crops"
"16H0502","Castelo Branco","4","2019","41","14","Fresh vegetables"
"16H0502","Castelo Branco","4","2019","2","2","Flowers and ornamental plants"
"16H0502","Castelo Branco","4","2019","1","2","Other temporary crops"
"16H0505","Idanha-a-Nova","4","2019","9787","504","Total"
"16H0505","Idanha-a-Nova","4","2019","1086","69","Cereals"
"16H0505","Idanha-a-Nova","4","2019","451","50","Dried pulses"
"16H0505","Idanha-a-Nova","4","2019","1798","46","Temporary grasses and grazings"
"16H0505","Idanha-a-Nova","4","2019","6377","408","Fodder plants"
"16H0505","Idanha-a-Nova","4","2019","1","5","Potatoes"
"16H0505","Idanha-a-Nova","4","2019","0","0","Sugarbeets"
"16H0505","Idanha-a-Nova","4","2019","10","7","Industrial crops"
"16H0505","Idanha-a-Nova","4","2019","55","32","Fresh vegetables"
"16H0505","Idanha-a-Nova","4","2019","0","0","Flowers and ornamental plants"
"16H0505","Idanha-a-Nova","4","2019","9","5","Other temporary crops"
"16H0506","Oleiros","4","2019","137","314","Total"
"16H0506","Oleiros","4","2019","23","137","Cereals"
"16H0506","Oleiros","4","2019","0","0","Dried pulses"
"16H0506","Oleiros","4","2019","0","0","Temporary grasses and grazings"
"16H0506","Oleiros","4","2019","115","298","Fodder plants"
"16H0506","Oleiros","4","2019","0","0","Potatoes"
"16H0506","Oleiros","4","2019","0","0","Sugarbeets"
"16H0506","Oleiros","4","2019","0","0","Industrial crops"
"16H0506","Oleiros","4","2019","0","0","Fresh vegetables"
"16H0506","Oleiros","4","2019","0","0","Flowers and ornamental plants"
"16H0506","Oleiros","4","2019","0","0","Other temporary crops"
"16H0507","Penamacor","4","2019","3356","546","Total"
"16H0507","Penamacor","4","2019","467","194","Cereals"
"16H0507","Penamacor","4","2019","54","75","Dried pulses"
"16H0507","Penamacor","4","2019","505","24","Temporary grasses and grazings"
"16H0507","Penamacor","4","2019","2310","356","Fodder plants"
"16H0507","Penamacor","4","2019","18","95","Potatoes"
"16H0507","Penamacor","4","2019","0","0","Sugarbeets"
"16H0507","Penamacor","4","2019","0","1","Industrial crops"
"16H0507","Penamacor","4","2019","3","6","Fresh vegetables"
"16H0507","Penamacor","4","2019","0","0","Flowers and ornamental plants"
"16H0507","Penamacor","4","2019","0","1","Other temporary crops"
"16H0508","Proença-a-Nova","4","2019","557","383","Total"
"16H0508","Proença-a-Nova","4","2019","15","39","Cereals"
"16H0508","Proença-a-Nova","4","2019","2","14","Dried pulses"
"16H0508","Proença-a-Nova","4","2019","0","1","Temporary grasses and grazings"
"16H0508","Proença-a-Nova","4","2019","537","337","Fodder plants"
"16H0508","Proença-a-Nova","4","2019","1","14","Potatoes"
"16H0508","Proença-a-Nova","4","2019","0","0","Sugarbeets"
"16H0508","Proença-a-Nova","4","2019","1","1","Industrial crops"
"16H0508","Proença-a-Nova","4","2019","1","2","Fresh vegetables"
"16H0508","Proença-a-Nova","4","2019","0","0","Flowers and ornamental plants"
"16H0508","Proença-a-Nova","4","2019","0","2","Other temporary crops"
"16H0511","Vila Velha de Ródão","4","2019","1495","190","Total"
"16H0511","Vila Velha de Ródão","4","2019","291","14","Cereals"
"16H0511","Vila Velha de Ródão","4","2019","43","8","Dried pulses"
"16H0511","Vila Velha de Ródão","4","2019","227","28","Temporary grasses and grazings"
"16H0511","Vila Velha de Ródão","4","2019","922","171","Fodder plants"
"16H0511","Vila Velha de Ródão","4","2019","0","0","Potatoes"
"16H0511","Vila Velha de Ródão","4","2019","0","0","Sugarbeets"
"16H0511","Vila Velha de Ródão","4","2019","6","3","Industrial crops"
"16H0511","Vila Velha de Ródão","4","2019","1","2","Fresh vegetables"
"16H0511","Vila Velha de Ródão","4","2019","0","1","Flowers and ornamental plants"
"16H0511","Vila Velha de Ródão","4","2019","6","1","Other temporary crops"
"16I0509","Sertã","4","2019","662","590","Total"
"16I0509","Sertã","4","2019","107","246","Cereals"
"16I0509","Sertã","4","2019","21","29","Dried pulses"
"16I0509","Sertã","4","2019","8","15","Temporary grasses and grazings"
"16I0509","Sertã","4","2019","517","433","Fodder plants"
